Numeral|Name|Mean radius (km)|Sidereal period (d) (r = retrograde)|Discovery year|Discovered by|Notes|Plane
—|S/2003 J 19|1|740.43 (r)|2003|"Gladman| Sheppard| Jewitt| Kleyna| Kavelaars| Petit| Allen"|Retrograde irregular (Carme)|Jupite
—|S/2003 J 23|1|732.45 (r)|2004|"Sheppard| Jewitt| Kleyna| Fernández"|Retrograde irregular (Pasiphae)|Jupite
—|S/2010 J 1|1|723.2 (r)|2010|"Jacobson| Brozovic| Gladman| Alexandersen"|Retrograde irregular (Pasiphae?)|Jupite
—|S/2010 J 2|0.5|588.1 (r)|2010|Veillet|Retrograde irregular (Ananke?)|Jupite
—|S/2011 J 1|0.5|580.7 (r)|2011|Sheppard|Retrograde irregular|Jupite
—|S/2011 J 2|0.5|726.8 (r)|2011|Sheppard|Retrograde irregular (Pasiphae?)|Jupite
I|Mimas|198.2 ± 0.4|0.942|1789|Herschel|Main group moon|Satur
II|Enceladus|252.3 ± 0.6|1.37|1789|Herschel|Main group moon|Satur
III|Tethys|536.3 ± 1.5|1.888|1684|Cassini|Main group moon (Sidera Lodoicea)|Satur
IV|Dione|562.5 ± 1.5|2.737|1684|Cassini|Main group moon (Sidera Lodoicea)|Satur
V|Rhea|764.5 ± 2.0|4.518|1672|Cassini|Main group moon (Sidera Lodoicea)|Satur
VI|Titan|2575.5 ± 2.0|15.95|1655|Huygens|Main group moon|Satur
VII|Hyperion|133.0 ± 8.0|21.28|1848|"W.Bond| G. Bond| and Lassell"|Main group moon|Satur
VIII|Iapetus|734.5 ± 4.0|79.33|1671|Cassini|Main group moon (Sidera Lodoicea)|Satur
IX|Phoebe|106.6 ± 1.1|550.31 (r)|1899|Pickering|Retrograde irregular (Norse)|Satur
X|Janus|90.4 ± 3.0|0.695|1966|Dollfus; Voyager 1|Inner moon (co-orbital)|Satur
XI|Epimetheus|58.3 ± 3.1|0.694|1980|Walker; Voyager 1|Inner moon (co-orbital)|Satur
XII|Helene|16 ± 4|2.737|1980|"Laques| Lecacheux"|Main group trojan|Satur
XIII|Telesto|12 ± 3|1.888|1980|"Smith| Reitsema| Larson| Fountain (Voyager 1)"|Main group trojan|Satur
XIV|Calypso|9.5 ± 1.5|1.888|1980|"Pascu| Seidelmann| Baum| Currie"|Main group trojan|Satur
XV|Atlas|15.3 ± 1.2|0.602|1980|Terrile (Voyager 1)|Inner moon (shepherd)|Satur
XVI|Prometheus|46.8 ± 5.6|0.613|1980|Collins (Voyager 1)|Inner moon (shepherd)|Satur
XVII|Pandora|40.6 ± 4.5|0.629|1980|Collins (Voyager 1)|Inner moon (shepherd)|Satur
XVIII|Pan|12.8|0.575|1990|Showalter (Voyager 2)|Inner moon (shepherd)|Satur
XIX|Ymir|9|"1|315.14 (r)"|2000|Gladman|Retrograde irregular (Norse)|Satur
XX|Paaliaq|11|686.95|2000|Gladman|Prograde irregular (Inuit)|Satur
XXI|Tarvos|7.5|926.23|2000|"Gladman| Kavelaars"|Prograde irregular (Gallic)|Satur
XXII|Ijiraq|6|451.42|2000|"Gladman| Kavelaars"|Prograde irregular (Inuit)|Satur
XXIII|Suttungr|3.5|"1|016.67 (r)"|2000|"Gladman| Kavelaars"|Retrograde irregular (Norse)|Satur
XXIV|Kiviuq|8|449.22|2000|Gladman|Prograde irregular (Inuit)|Satur
XXV|Mundilfari|3.5|952.77 (r)|2000|"Gladman| Kavelaars"|Retrograde irregular (Norse)|Satur
XXVI|Albiorix|16|783.45|2000|"Holman| Spahr"|Prograde irregular (Gallic)|Satur
XXVII|Skathi|4|728.20 (r)|2000|"Gladman| Kavelaars"|Retrograde irregular (Norse)|Satur
XXVIII|Erriapus|5|871.19|2000|"Gladman| Kavelaars"|Prograde irregular (Gallic)|Satur
XXIX|Siarnaq|20|895.53|2000|"Gladman| Kavelaars"|Prograde irregular (Inuit)|Satur
XXX|Thrymr|3.5|"1|094.11 (r)"|2000|"Gladman| Kavelaars"|Retrograde irregular (Norse)|Satur
XXXI|Narvi|3.5|"1|003.86 (r)"|2003|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
XXXII|Methone|1.5|1.01|2004|"Porco| Charnoz| Brahic| Dones (Cassini–Huygens)"|Alkyonide moon|Satur
XXXIII|Pallene|2|1.154|2004|"Gordon| Murray| Beurle| et al. (Cassini–Huygens)"|Alkyonide moon|Satur
XXXIV|Polydeuces|1.25|2.737|2004|Porco et al. (Cassini–Huygens)|Main group trojan|Satur
XXXV|Daphnis|3–4|0.594|2005|Porco et al. (Cassini–Huygens)|Inner moon (shepherd)|Satur
XXXVI|Aegir|3|"1|117.52 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XXXVII|Bebhionn|3|834.84|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Prograde irregular (Gallic)|Satur
XXXVIII|Bergelmir|3|"1|005.74 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XXXIX|Bestla|3.5|"1|088.72 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XL|Farbauti|2.5|"1|085.55 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XLI|Fenrir|2|"1|260.35 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XLII|Fornjot|3|"1|494.2 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XLIII|Hati|3|"1|038.61 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
XLIV|Hyrrokkin|4|931.86 (r)|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
XLV|Kari|3.5|"1|230.97 (r)"|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
XLVI|Loge|3|"1|311.36 (r)"|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
XLVII|Skoll|3|878.29 (r)|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
XLVIII|Surtur|3|"1|297.36 (r)"|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
XLIX|Anthe|1|1.0365|2007|Porco et al. (Cassini–Huygens)|Alkyonide moon|Satur
L|Jarnsaxa|3|964.74 (r)|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
LI|Greip|3|921.19 (r)|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
LII|Tarqeq|3.5|887.48|2007|"Sheppard| Jewitt| Kleyna"|Prograde irregular (Inuit)|Satur
LIII|Aegaeon|0.25|0.808|2008|Cassini Imaging Science Team Cassini–Huygens|G-ring moonlet|Satur
—|S/2004 S 7|3|"1|140.24 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
—|S/2004 S 12|2.5|"1|046.19 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
—|S/2004 S 13|3|933.48 (r)|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
—|S/2004 S 17|2|"1|014.70 (r)"|2004|"Sheppard| Jewitt| Kleyna| Marsden"|Retrograde irregular (Norse)|Satur
—|S/2006 S 1|3|963.37 (r)|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
—|S/2006 S 3|3|"1|227.21 (r)"|2006|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
—|S/2007 S 2|3|808.08 (r)|2007|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
—|S/2007 S 3|3|977.8 (r)|2007|"Sheppard| Jewitt| Kleyna"|Retrograde irregular (Norse)|Satur
—|S/2009 S 1|0.15|0.471|2009|Cassini Imaging Science Team Cassini–Huygens|B-ring moonlet|Satur
I|Ariel|578.9 ± 0.6|2.52|1851|Lassell|Main group moon|Uranu
II|Umbriel|584.7 ± 2.8|4.144|1851|Lassell|Main group moon|Uranu
III|Titania|788.9 ± 1.8|8.706|1787|Herschel|Main group moon|Uranu
IV|Oberon|761.4 ± 2.6|13.46|1787|Herschel|Main group moon|Uranu
V|Miranda|235.8 ± 0.7|1.413|1948|Kuiper|Main group moon|Uranu
VI|Cordelia|20.1 ± 3|0.335|1986|Terrile (Voyager 2)|Inner moon (shepherd)|Uranu
VII|Ophelia|21.4 ± 4|0.376|1986|Terrile (Voyager 2)|Inner moon (shepherd)|Uranu
VIII|Bianca|25.7 ± 2|0.435|1986|Smith (Voyager 2)|Inner moon|Uranu
IX|Cressida|39.8 ± 2|0.464|1986|Synnott (Voyager 2)|Inner moon|Uranu
X|Desdemona|32.0 ± 4|0.474|1986|Synnott (Voyager 2)|Inner moon|Uranu
XI|Juliet|46.8 ± 4|0.493|1986|Synnott (Voyager 2)|Inner moon|Uranu
XII|Portia|67.6 ± 4|0.513|1986|Synnott (Voyager 2)|Inner moon|Uranu
XIII|Rosalind|36 ± 6|0.558|1986|Synnott (Voyager 2)|Inner moon|Uranu
XIV|Belinda|40.3 ± 8|0.624|1986|Synnott (Voyager 2)|Inner moon|Uranu
XV|Puck|81 ± 2|0.762|1985|Synnott (Voyager 2)|Inner moon|Uranu
XVI|Caliban|49|579.73 (r)|1997|"Gladman| Nicholson| Burns| Kavelaars"|Retrograde irregular|Uranu
XVII|Sycorax|95|"1|288.3 (r)"|1997|"Gladman| Nicholson| Burns| Kavelaars"|Retrograde irregular|Uranu
XVIII|Prospero|15|"1|978.29 (r)"|1999|"Gladman| Holman| Kavelaars| Petit| Scholl"|Retrograde irregular|Uranu
XIX|Setebos|15|"2|225.21 (r)"|1999|"Gladman| Holman| Kavelaars| Petit| Scholl"|Retrograde irregular|Uranu
XX|Stephano|10|677.36 (r)|1999|"Gladman| Holman| Kavelaars| Petit| Scholl"|Retrograde irregular|Uranu
XXI|Trinculo|5|749.24 (r)|2001|"Holman| Kavelaars| Milisavljevic"|Retrograde irregular|Uranu
XXII|Francisco|6|266.56 (r)|2001|"Holman| Kavelaars| Milisavljevic| Gladman"|Retrograde irregular|Uranu
XXIII|Margaret|5.5|"1|687.01"|2003|"Sheppard| Jewitt"|Prograde irregular|Uranu
XXIV|Ferdinand|6|"2|887.21 (r)"|2001|"Holman| Kavelaars| Milisavljevic| et al"|Retrograde irregular|Uranu
XXV|Perdita|10|0.638|1986|Karkoschka (Voyager 2)|Inner moon|Uranu
XXVI|Mab|5|0.923|2003|"Showalter| Lissauer"|Inner moon|Uranu
XXVII|Cupid|5|0.613|2003|"Showalter| Lissauer"|Inner moon|Uranu
I|Triton|1353.4 ± 0.9|5.877 (r)|1846|Lassell|Retrograde irregular|Neptun
II|Nereid|170 ± 25|360.14|1949|Kuiper|Prograde irregular|Neptun
III|Naiad|33 ± 3|0.294|1989|Terrile (Voyager 2)|Inner moon|Neptun
IV|Thalassa|41 ± 3|0.311|1989|Terrile (Voyager 2)|Inner moon|Neptun
V|Despina|75 ± 3|0.335|1989|Synnott (Voyager 2)|Inner moon|Neptun
VI|Galatea|88 ± 4|0.429|1989|Synnott (Voyager 2)|Inner moon|Neptun
VII|Larissa|97 ± 3|0.555|1989|"Reitsema| Hubbard| Lebofsky| Tholen (Voyager 2)"|Inner moon|Neptun
VIII|Proteus|210 ± 7|1.122|1989|Synnott (Voyager 2)|Inner moon|Neptun
IX|Halimede|31|"1|879.71 (r)"|2002|"Holman| Kavelaars| Grav| Fraser| Milisavljevic"|Retrograde irregular|Neptun
X|Psamathe|20|"9|115.91 (r)"|2003|"Jewitt| Kleyna| Sheppard| Holman| Kavelaars"|Retrograde irregular|Neptun
XI|Sao|22|"2|914.07"|2002|"Holman| Kavelaars| Grav| Fraser| Milisavljevic"|Prograde irregular|Neptun
XII|Laomedeia|21|"3|167.85"|2002|"Holman| Kavelaars| Grav| Fraser| Milisavljevic"|Prograde irregular|Neptun
XIII|Neso|30|"9|373.99 (r)"|2002|"Holman| Kavelaars| Grav| Fraser| Milisavljevic"|Retrograde irregular|Neptun
—|S/2004 N 1|8–10|0.9362|2013|Showalter et al|Inner moon|Neptue
